"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
11/05/2023 17:39:20 +00:00,kraytdragon,452518631,Puck,3150000,20
11/05/2023 17:39:20 +00:00,kraytdragon,446172192,Q Ryker,1350000,41
11/05/2023 17:39:20 +00:00,kraytdragon,862389575,Enigma,5183752,2
11/05/2023 17:39:20 +00:00,kraytdragon,814134474,RoTahn Taske,3350613,14
11/05/2023 17:39:20 +00:00,kraytdragon,597271922,Scof,1488018,39
11/05/2023 17:39:20 +00:00,kraytdragon,858966128,T,3140814,21
11/05/2023 17:39:20 +00:00,kraytdragon,938743519,Chikiller,1800000,37
11/05/2023 17:39:20 +00:00,kraytdragon,396743814,Rhil Margos,1200000,47
11/05/2023 17:39:20 +00:00,kraytdragon,924462567,non7top,2314371,32
11/05/2023 17:39:20 +00:00,kraytdragon,346854538,Tyron Brandt,5902864,1
11/05/2023 17:39:20 +00:00,kraytdragon,334861731,JediAhsoka,1284654,44
11/05/2023 17:39:20 +00:00,kraytdragon,625367959,Blattu,3548085,12
11/05/2023 17:39:20 +00:00,kraytdragon,133674987,Tani Mayse,2314632,31
11/05/2023 17:39:20 +00:00,kraytdragon,768488681,Tranced,4341780,5
11/05/2023 17:39:20 +00:00,kraytdragon,964121997,DarthDax,4100850,9
11/05/2023 17:39:20 +00:00,kraytdragon,834874213,BobbyMarshal,0,50
11/05/2023 17:39:20 +00:00,kraytdragon,475136137,WharfRat,4168874,8
11/05/2023 17:39:20 +00:00,kraytdragon,214224828,JakeY,2692653,29
11/05/2023 17:39:20 +00:00,kraytdragon,255925733,Fidget92,1971088,34
11/05/2023 17:39:20 +00:00,kraytdragon,394321369,Javin Fis,2516346,30
11/05/2023 17:39:20 +00:00,kraytdragon,175993797,El Jefe,3155952,19
11/05/2023 17:39:20 +00:00,kraytdragon,643373276,Avatany,1093531,48
11/05/2023 17:39:20 +00:00,kraytdragon,389689423,ArtVandalay,3014091,25
11/05/2023 17:39:20 +00:00,kraytdragon,118679749,manolis,1800000,36
11/05/2023 17:39:20 +00:00,kraytdragon,754294299,Darthsyn,2700000,27
11/05/2023 17:39:20 +00:00,kraytdragon,452238138,Yosh,1337973,42
11/05/2023 17:39:20 +00:00,kraytdragon,729916753,Squanchy420,1642783,38
11/05/2023 17:39:20 +00:00,kraytdragon,478966819,Lambert,3057644,23
11/05/2023 17:39:20 +00:00,kraytdragon,336698836,Jonesmalones,3300000,15
11/05/2023 17:39:20 +00:00,kraytdragon,793549187,Dârth Jungle Asian,3047817,24
11/05/2023 17:39:20 +00:00,kraytdragon,299292257,G4reth,3388346,13
11/05/2023 17:39:20 +00:00,kraytdragon,256121811,JHang,3161992,18
11/05/2023 17:39:20 +00:00,kraytdragon,312478199,Taco Hat,1331246,43
11/05/2023 17:39:20 +00:00,kraytdragon,124165769,Tyrian,1478593,40
11/02/2023 17:37:01 +00:00,kraytdragon,597271922,Scof,1533936,40
11/02/2023 17:37:01 +00:00,kraytdragon,443495965,Verage Valoor,3173124,16
11/02/2023 17:37:01 +00:00,kraytdragon,336698836,Jonesmalones,5020143,2
11/02/2023 17:37:01 +00:00,kraytdragon,793549187,Dârth Jungle Asian,3010481,22
11/02/2023 17:37:01 +00:00,kraytdragon,685711659,MINI DarthAzazel,4477128,3
11/02/2023 17:37:01 +00:00,kraytdragon,585576166,Patrick4,2946262,23
11/02/2023 17:37:01 +00:00,kraytdragon,862389575,Enigma,5191902,1
11/02/2023 17:37:01 +00:00,kraytdragon,446172192,Q Ryker,1350000,41
11/02/2023 17:37:01 +00:00,kraytdragon,454629175,Delara Exibil,4026275,10
11/02/2023 17:37:01 +00:00,kraytdragon,492564869,OwningXylophone,3730181,12
11/02/2023 17:37:01 +00:00,kraytdragon,389689423,ArtVandalay,2685371,28
11/02/2023 17:37:01 +00:00,kraytdragon,834874213,BobbyMarshal,2384571,31
11/02/2023 17:37:01 +00:00,kraytdragon,749275383,Dava,3345693,13
11/02/2023 17:37:01 +00:00,kraytdragon,133674987,Tani Mayse,2351770,32
11/02/2023 17:37:01 +00:00,kraytdragon,814134474,RoTahn Taske,3210157,15
11/02/2023 17:37:01 +00:00,kraytdragon,312333279,Excessive Fist,1200000,44
11/02/2023 17:37:01 +00:00,kraytdragon,475136137,WharfRat,4458247,4
11/02/2023 17:37:01 +00:00,kraytdragon,118679749,manolis,2234042,33
11/02/2023 17:37:01 +00:00,kraytdragon,678195521,XCAL,4334649,8
11/02/2023 17:37:01 +00:00,kraytdragon,768488681,Tranced,4426462,6
11/02/2023 17:37:01 +00:00,kraytdragon,964121997,DarthDax,3901265,11
11/02/2023 17:37:01 +00:00,kraytdragon,729916753,Squanchy420,1200000,45
11/02/2023 17:37:01 +00:00,kraytdragon,825371335,Nomad,4417252,7
11/02/2023 17:37:01 +00:00,kraytdragon,625367959,Blattu,4202433,9
11/02/2023 17:37:01 +00:00,kraytdragon,938743519,Chikiller,1800000,37
11/02/2023 17:37:01 +00:00,kraytdragon,396743814,Rhil Margos,1200000,46
11/02/2023 17:37:01 +00:00,kraytdragon,132898449,Jay Maop,1032720,47
11/02/2023 17:37:01 +00:00,kraytdragon,255925733,Fidget92,0,50
11/02/2023 17:37:01 +00:00,kraytdragon,858966128,T,2700000,25
11/02/2023 17:37:01 +00:00,kraytdragon,197788324,Skaar,4456374,5
11/02/2023 17:37:01 +00:00,kraytdragon,214224828,JakeY,2581725,29
11/02/2023 17:37:01 +00:00,kraytdragon,175993797,El Jefe,3047325,21
11/02/2023 17:37:01 +00:00,kraytdragon,452518631,Puck,3150000,17
11/02/2023 17:37:01 +00:00,kraytdragon,394321369,Javin Fis,2530414,30
11/02/2023 17:37:01 +00:00,kraytdragon,124165769,Tyrian,1537714,39
11/02/2023 17:37:01 +00:00,kraytdragon,381676275,Marl Jewel,2700000,24
11/02/2023 17:37:01 +00:00,kraytdragon,754294299,Darthsyn,2700000,27
11/02/2023 17:37:01 +00:00,kraytdragon,924462567,non7top,2226207,34
11/02/2023 17:37:01 +00:00,kraytdragon,452238138,Yosh,1891626,36
11/02/2023 17:37:01 +00:00,kraytdragon,346854538,Tyron Brandt,988876,48
11/02/2023 17:37:01 +00:00,kraytdragon,312478199,Taco Hat,1781568,38
11/02/2023 17:37:01 +00:00,kraytdragon,478966819,Lambert,3089212,18
11/02/2023 17:37:01 +00:00,kraytdragon,299292257,G4reth,3224082,14
11/02/2023 17:37:01 +00:00,kraytdragon,556839255,Jeeves,3068054,19
11/02/2023 17:37:01 +00:00,kraytdragon,256121811,JHang,3051572,20
11/02/2023 17:37:01 +00:00,kraytdragon,371731743,Trask droll,2700000,26
11/02/2023 17:37:01 +00:00,kraytdragon,855527258,BobaChuck91,2021368,35
11/02/2023 17:37:01 +00:00,kraytdragon,643373276,Avatany,1294342,42
11/02/2023 17:37:01 +00:00,kraytdragon,334861731,JediAhsoka,1283224,43
11/02/2023 17:37:01 +00:00,kraytdragon,471792187,Geralt of Rivia,938955,49
10/30/2023 17:35:25 +00:00,kraytdragon,256121811,JHang,3080519,22
10/30/2023 17:35:25 +00:00,kraytdragon,678195521,XCAL,4499397,6
10/30/2023 17:35:25 +00:00,kraytdragon,814134474,RoTahn Taske,3581278,13
10/30/2023 17:35:25 +00:00,kraytdragon,454629175,Delara Exibil,4050000,11
10/30/2023 17:35:25 +00:00,kraytdragon,133674987,Tani Mayse,2345890,34
10/30/2023 17:35:25 +00:00,kraytdragon,825371335,Nomad,4228926,9
10/30/2023 17:35:25 +00:00,kraytdragon,749275383,Dava,3057156,26
10/30/2023 17:35:25 +00:00,kraytdragon,443495965,Verage Valoor,3076951,23
10/30/2023 17:35:25 +00:00,kraytdragon,255925733,Fidget92,2295690,35
10/30/2023 17:35:25 +00:00,kraytdragon,597271922,Scof,1355550,43
10/30/2023 17:35:25 +00:00,kraytdragon,938743519,Chikiller,2824249,27
10/30/2023 17:35:25 +00:00,kraytdragon,446172192,Q Ryker,1350000,44
10/30/2023 17:35:25 +00:00,kraytdragon,793549187,Dârth Jungle Asian,3071716,25
10/30/2023 17:35:25 +00:00,kraytdragon,312333279,Excessive Fist,3149148,19
10/30/2023 17:35:25 +00:00,kraytdragon,556839255,Jeeves,3227601,15
10/30/2023 17:35:25 +00:00,kraytdragon,625367959,Blattu,4644597,3
10/30/2023 17:35:25 +00:00,kraytdragon,336698836,Jonesmalones,2700000,28
10/30/2023 17:35:25 +00:00,kraytdragon,768488681,Tranced,4401900,7
10/30/2023 17:35:25 +00:00,kraytdragon,132898449,Jay Maop,1163814,46
10/30/2023 17:35:25 +00:00,kraytdragon,381676275,Marl Jewel,2250000,37
10/30/2023 17:35:25 +00:00,kraytdragon,858966128,T,4099021,10
