CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score,SpecialResults
1702836006000,t05D,summary,751425437,Mugami Chinzano,theflig#9620,53201840,
1702836006000,t05D,summary,262663538,Daggo,Daggo#4474,59503073,
1702836006000,t05D,summary,778931966,A1Savage,a1savage,44189697,
1702836006000,t05D,summary,945343361,Falen Lacer,Fallen Lacer#4294,53238943,
1702836006000,t05D,summary,712815396,MINIxur'kthan,xurkthan#3544,63169489,
1702836006000,t05D,summary,879666349,Skcampy,skcampy#3655,60159457,
1702836006000,t05D,summary,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,61534148,
1702836006000,t05D,summary,285458979,OhMyPretzel,ohmypretzel,42468313,
1702836006000,t05D,summary,422224692,Reaper1010,ghosthunter3935#0000,48178605,
1702836006000,t05D,summary,846356518,CT69420,Fancytomato22#7624,22930827,
1702836006000,t05D,summary,945579988,pablomash,blacpablo#4996,47489664,
1702836006000,t05D,summary,149288835,Ransom23,rynemc#2341,50525961,
1702836006000,t05D,summary,611865263,Salvare,Salvare#2619,61678382,
1702836006000,t05D,summary,452956267,Zazztrain,zazztrain#0000,69170028,
1702836006000,t05D,summary,473794447,ItzBerndern,ItzBerndern#5396,73438170,
1702836006000,t05D,summary,894672172,Aceth,aceth55555#5254,48150329,
1702836006000,t05D,summary,396314914,Trate Daxson,â¦TrateDaxsonâ©#7855,52910277,
1702836006000,t05D,summary,948172661,Excelsior 101,Digolo doorjam#3841,44552025,
1702836006000,t05D,summary,363639736,FateHydro,EricE#9019,58357734,
1702836006000,t05D,summary,944998814,Philadelphia Collins,_philadelphiacollins#0000,73743202,
1702836006000,t05D,summary,141987319,Saki,eevie,36871640,
1702836006000,t05D,summary,741489737,Mc,Mc#4119,42275576,
1702836006000,t05D,summary,275475314,SithKebab,pooba#0000,82859899,
1702836006000,t05D,summary,453925665,N7 Tesla,n7tesla#0000,57602453,
1702836006000,t05D,summary,732614324,SecretId,â¦.secretidâ©#0000,37933521,
1702836006000,t05D,summary,178927387,Mr Blargh,Blaaaarrrrrrggggghhhhh#1496,48701242,
1702836006000,t05D,summary,716951122,MINI Mace Dymond,dymo0000,70507489,
1702836006000,t05D,summary,289231731,Pflapjack,pflapjack#8956,45165265,
1702836006000,t05D,summary,235598485,rockoffanddie,rockoffanddie#5252,49927496,
1702836006000,t05D,summary,729835146,Yania May,YaniaMay#7722,54867225,
1702836006000,t05D,summary,517437864,Chelli,Klaud the Bod#1794,51366129,
1702836006000,t05D,summary,885421384,Thessa Odai,Thessa Odai#0111,41717730,
1702836006000,t05D,summary,289197639,JangosJuggs,jangosjuggs#9817,45204689,
1702836006000,t05D,summary,662698148,Wabba Dejabba,recon224#0000,52645621,
1702836006000,t05D,summary,788557913,s0da p0pinski,s0da_p0pinski#0000,74625250,
1702836006000,t05D,summary,778628584,Bobandy,bobandy8960#0000,66922560,
1702836006000,t05D,summary,436482977,PaulB086,paulb086#0000,44878114,
1702836006000,t05D,summary,341125679,8,8........#0588,44280115,
1702836006000,t05D,summary,472927571,DocWho619,docwhoSD#3664,43500093,
1702836006000,t05D,summary,611122258,Yodizzle,yodizzle69#2795,59820912,
1702836006000,t05D,summary,482555984,TheMonkeyBuddha,â¦mâ—nkðŸ‡¨ðŸ‡¦â©#5843,52162128,
1702836006000,t05D,summary,712146515,Zick,â¦Zickâ©#0282,49188027,
1702836006000,t05D,summary,741436451,Rensalaer,Rensalaer#5984,41501671,
1702836006000,t05D,summary,795112941,Rh Factor,Rich Howley#2806,45772476,
1702836006000,t05D,summary,715487269,C2,kitsura,51116300,
1702836006000,t05D,summary,187142131,Digolo Doorjam,Digolo doorjam#3841,49543517,
1702836006000,t05D,summary,295928884,Akbahr,akbahr#0000,57965692,
1702836006000,t05D,summary,863697863,Mega Kicagemon,orthodoxrebel#0000,84387440,
1702836006000,t05D,summary,665525861,Laseracid,â¦laseracidâ©#0000,55361780,
1702836006000,t05D,summary,948786289,Uhrrr ahhrrr aaargh,Uhrr#9638,35009114,
1702836006000,t05D,summary_round_1,751425437,Mugami Chinzano,theflig#9620,8858313,
1702836006000,t05D,summary_round_1,262663538,Daggo,Daggo#4474,10863422,
1702836006000,t05D,summary_round_1,778931966,A1Savage,a1savage,598336,
1702836006000,t05D,summary_round_1,945343361,Falen Lacer,Fallen Lacer#4294,8734470,
1702836006000,t05D,summary_round_1,712815396,MINIxur'kthan,xurkthan#3544,11295475,
1702836006000,t05D,summary_round_1,879666349,Skcampy,skcampy#3655,9998585,
1702836006000,t05D,summary_round_1,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,10345897,
1702836006000,t05D,summary_round_1,285458979,OhMyPretzel,ohmypretzel,8804511,
1702836006000,t05D,summary_round_1,422224692,Reaper1010,ghosthunter3935#0000,10116892,
1702836006000,t05D,summary_round_1,846356518,CT69420,Fancytomato22#7624,628847,
1702836006000,t05D,summary_round_1,945579988,pablomash,blacpablo#4996,1365032,
1702836006000,t05D,summary_round_1,149288835,Ransom23,rynemc#2341,10624905,
1702836006000,t05D,summary_round_1,611865263,Salvare,Salvare#2619,11415703,
1702836006000,t05D,summary_round_1,452956267,Zazztrain,zazztrain#0000,11941415,
1702836006000,t05D,summary_round_1,473794447,ItzBerndern,ItzBerndern#5396,13329241,
1702836006000,t05D,summary_round_1,894672172,Aceth,aceth55555#5254,8393569,
1702836006000,t05D,summary_round_1,396314914,Trate Daxson,â¦TrateDaxsonâ©#7855,9084022,
1702836006000,t05D,summary_round_1,948172661,Excelsior 101,Digolo doorjam#3841,7748325,
1702836006000,t05D,summary_round_1,363639736,FateHydro,EricE#9019,9936669,
1702836006000,t05D,summary_round_1,944998814,Philadelphia Collins,_philadelphiacollins#0000,12743280,
